usps,year,population
CO,2005,4631888
CO,2006,4720423
CO,2007,4803868
CO,2008,4889730
CO,2009,4972195
CO,2010,5048575
CO,2011,5119661
CO,2012,5191709
CO,2013,5272086
CO,2014,5355866
CT,1970,3038035
CT,1971,3061455
CT,1972,3069631
CT,1973,3069158
CT,1974,3075790
CT,1975,3084745
CT,1976,3085999
CT,1977,3088745
CT,1978,3094869
CT,1979,3099931
CT,1980,3107576
CT,1981,3128836
CT,1982,3139013
CT,1983,3162354
CT,1984,3180014
CT,1985,3201131
CT,1986,3223740
CT,1987,3247291
CT,1988,3271953
CT,1989,3283403
CT,1990,3291967
CT,1991,3302895
CT,1992,3300712
CT,1993,3309175
CT,1994,3316121
CT,1995,3324144
CT,1996,3336685
CT,1997,3349348
CT,1998,3365352
CT,1999,3386401
CT,2000,3411777
CT,2001,3432835
CT,2002,3458749
CT,2003,3484336
CT,2004,3496094
CT,2005,3506956
CT,2006,3517460
CT,2007,3527270
CT,2008,3545579
CT,2009,3561807
CT,2010,3579345
CT,2011,3590537
CT,2012,3594362
CT,2013,3599341
CT,2014,3596677
DE,1970,551509
DE,1971,565207
DE,1972,573824
DE,1973,579100
DE,1974,583149
DE,1975,588737
DE,1976,592753
DE,1977,594815
DE,1978,598183
DE,1979,598823
DE,1980,594338
DE,1981,595975
DE,1982,599148
DE,1983,605458
DE,1984,611565
DE,1985,618280
DE,1986,627559
DE,1987,636947
DE,1988,647622
DE,1989,658273
DE,1990,669567
DE,1991,683080
DE,1992,694925
DE,1993,706378
DE,1994,717545
DE,1995,729734
DE,1996,740977
DE,1997,751487
DE,1998,763335
DE,1999,774990
DE,2000,786373
DE,2001,795699
DE,2002,806169
DE,2003,818003
DE,2004,830803
DE,2005,845150
DE,2006,859268
DE,2007,871749
DE,2008,883874
DE,2009,891730
DE,2010,899731
DE,2011,907829
DE,2012,916881
DE,2013,925240
DE,2014,935614
DC,1970,755466
DC,1971,750641
DC,1972,743778
DC,1973,733677
DC,1974,720758
DC,1975,710304
DC,1976,696305
DC,1977,681766
DC,1978,670045
DC,1979,655620
DC,1980,638333
DC,1981,636893
DC,1982,634174
DC,1983,632433
DC,1984,633382
DC,1985,634549
DC,1986,638269
DC,1987,636930
DC,1988,630432
DC,1989,624168
DC,1990,605321
DC,1991,600870
DC,1992,597565
DC,1993,595301
DC,1994,589239
DC,1995,580517
DC,1996,572377
DC,1997,567736
DC,1998,565230
DC,1999,570213
DC,2000,572046
DC,2001,574504
DC,2002,573158
DC,2003,568502
DC,2004,567754
DC,2005,567136
DC,2006,570681
DC,2007,574404
DC,2008,580236
DC,2009,592228
DC,2010,605210
DC,2011,620427
DC,2012,635040
DC,2013,649111
DC,2014,658893
FL,1970,6865460
FL,1971,7162971
FL,1972,7520382
FL,1973,7927232
FL,1974,8317073
FL,1975,8541584
FL,1976,8695198
FL,1977,8888806
FL,1978,9131410
FL,1979,9470482
FL,1980,9746324
FL,1981,10192774
FL,1982,10471407
FL,1983,10749851
FL,1984,11039925
FL,1985,11351118
FL,1986,11667505
FL,1987,11997283
FL,1988,12306395
FL,1989,12637715
FL,1990,13033307
FL,1991,13369798
FL,1992,13650553
FL,1993,13927185
FL,1994,14239444
FL,1995,14537875
FL,1996,14853360
FL,1997,15186304
FL,1998,15486559
FL,1999,15759421
FL,2000,16047515
FL,2001,16356966
FL,2002,16689370
FL,2003,17004085
FL,2004,17415318
FL,2005,17842038
FL,2006,18166990
FL,2007,18367842
FL,2008,18527305
FL,2009,18652644
FL,2010,18852220
FL,2011,19107900
FL,2012,19355257
FL,2013,19600311
FL,2014,19893297
GA,1970,4611479
GA,1971,4709721
GA,1972,4806621
GA,1973,4906450
GA,1974,4994465
GA,1975,5058099
GA,1976,5125734
GA,1977,5211306
GA,1978,5285688
GA,1979,5390853
GA,1980,5463105
GA,1981,5568345
GA,1982,5649792
GA,1983,5728250
GA,1984,5834954
GA,1985,5962661
GA,1986,6084666
GA,1987,6208467
GA,1988,6316142
GA,1989,6411099
GA,1990,6512602
GA,1991,6653005
GA,1992,6817203
GA,1993,6978240
GA,1994,7157165
GA,1995,7328413
GA,1996,7501069
GA,1997,7685099
GA,1998,7863536
GA,1999,8045965
GA,2000,8227303
GA,2001,8377038
GA,2002,8508256
GA,2003,8622793
GA,2004,8769252
GA,2005,8925922
GA,2006,9155813
GA,2007,9349988
GA,2008,9504843
GA,2009,9620846
GA,2010,9714464
GA,2011,9813201
GA,2012,9919000
GA,2013,9994759
GA,2014,10097343
HI,1970,776177
HI,1971,801251
HI,1972,827610
HI,1973,850517
HI,1974,866560
HI,1975,884406
HI,1976,902061
HI,1977,915753
HI,1978,928804
HI,1979,950042
HI,1980,964691
HI,1981,978195
HI,1982,993780
HI,1983,1012717
HI,1984,1027922
HI,1985,1039698
HI,1986,1051762
HI,1987,1067918
HI,1988,1079828
HI,1989,1094588
HI,1990,1113491
HI,1991,1136754
HI,1992,1158613
HI,1993,1172838
HI,1994,1187536
HI,1995,1196854
HI,1996,1203755
HI,1997,1211640
HI,1998,1215233
HI,1999,1210300
HI,2000,1213519
HI,2001,1225948
HI,2002,1239613
HI,2003,1251154
HI,2004,1273569
HI,2005,1292729
HI,2006,1309731
HI,2007,1315675
HI,2008,1332213
HI,2009,1346717
HI,2010,1363950
HI,2011,1378251
HI,2012,1392766
HI,2013,1408987
HI,2014,1419561
ID,1970,718147
ID,1971,738856
ID,1972,763315
ID,1973,782142
ID,1974,808043
ID,1975,832061
ID,1976,857076
ID,1977,883539
ID,1978,911042
ID,1979,932725
ID,1980,943935
ID,1981,962204
ID,1982,973721
ID,1983,981869
ID,1984,990839
ID,1985,994051
ID,1986,990224
ID,1987,984997
ID,1988,985664
ID,1989,994416
ID,1990,1012384
ID,1991,1041316
ID,1992,1071685
ID,1993,1108768
ID,1994,1145140
ID,1995,1177322
ID,1996,1203083
ID,1997,1228520
ID,1998,1252330
ID,1999,1275674
ID,2000,1299430
ID,2001,1319962
ID,2002,1340372
ID,2003,1363380
ID,2004,1391802
ID,2005,1428241
ID,2006,1468669
ID,2007,1505105
ID,2008,1534320
ID,2009,1554439
ID,2010,1570639
ID,2011,1583780
ID,2012,1595590
ID,2013,1612843
ID,2014,1634464
IL,1970,11129316
IL,1971,11205953
IL,1972,11258208
IL,1973,11260386
IL,1974,11273801
IL,1975,11306443
IL,1976,11360331
IL,1977,11406331
IL,1978,11434520
IL,1979,11422890
IL,1980,11426518
IL,1981,11443458
IL,1982,11423412
IL,1983,11408818
IL,1984,11412132
IL,1985,11399806
IL,1986,11387257
IL,1987,11391178
IL,1988,11390183
IL,1989,11409782
IL,1990,11453316
IL,1991,11568964
IL,1992,11694184
IL,1993,11809579
IL,1994,11912585
IL,1995,12008437
IL,1996,12101997
IL,1997,12185715
IL,1998,12271847
IL,1999,12359020
IL,2000,12434161
IL,2001,12488445
IL,2002,12525556
IL,2003,12556006
IL,2004,12589773
IL,2005,12609903
IL,2006,12643955
IL,2007,12695866
IL,2008,12747038
IL,2009,12796778
IL,2010,12840097
IL,2011,12858725
IL,2012,12873763
IL,2013,12890552
IL,2014,12880580
IN,1970,5206262
IN,1971,5250028
IN,1972,5296219
IN,1973,5329163
IN,1974,5349955
IN,1975,5351155
IN,1976,5371615
IN,1977,5405151
IN,1978,5446484
IN,1979,5474976
IN,1980,5490224
IN,1981,5480435
IN,1982,5467922
IN,1983,5450395
IN,1984,5458322
IN,1985,5459211
IN,1986,5454108
IN,1987,5473012
IN,1988,5491735
IN,1989,5523693
IN,1990,5557798
IN,1991,5616388
IN,1992,5674547
IN,1993,5739019
IN,1994,5793526
IN,1995,5851459
IN,1996,5906013
IN,1997,5955267
IN,1998,5998880
IN,1999,6044969
IN,2000,6091866
IN,2001,6127760
IN,2002,6155967
IN,2003,6196638
IN,2004,6233007
IN,2005,6278616
IN,2006,6332669
IN,2007,6379599
IN,2008,6424806
IN,2009,6459325
IN,2010,6490308
IN,2011,6516560
IN,2012,6537632
IN,2013,6570713
IN,2014,6596855
IA,1970,2830777
IA,1971,2851875
IA,1972,2860464
IA,1973,2864033
IA,1974,2867942
IA,1975,2881482
IA,1976,2903776
IA,1977,2914404
IA,1978,2919047
IA,1979,2916824
IA,1980,2913808
IA,1981,2907983
IA,1982,2888189
IA,1983,2870543
IA,1984,2858618
IA,1985,2829684
IA,1986,2791970
IA,1987,2767011
IA,1988,2768388
IA,1989,2770592
IA,1990,2781018
IA,1991,2797613
IA,1992,2818401
IA,1993,2836972
IA,1994,2850746
IA,1995,2867373
IA,1996,2880000
IA,1997,2891119
IA,1998,2902872
IA,1999,2917634
IA,2000,2929067
IA,2001,2931997
IA,2002,2934234
IA,2003,2941999
IA,2004,2953635
IA,2005,2964454
IA,2006,2982644
IA,2007,2999212
IA,2008,3016734
IA,2009,3032870
IA,2010,3050295
IA,2011,3064904
IA,2012,3075935
IA,2013,3092341
IA,2014,3107126
KS,1970,2248359
KS,1971,2246461
KS,1972,2255791
KS,1973,2264585
KS,1974,2268075
KS,1975,2278947
KS,1976,2298892
KS,1977,2318147
KS,1978,2333141
KS,1979,2347705
KS,1980,2363679
KS,1981,2384849
KS,1982,2401202
KS,1983,2415531
KS,1984,2424086
KS,1985,2427405
KS,1986,2432619
KS,1987,2445367
KS,1988,2461996
KS,1989,2472849
KS,1990,2481349
KS,1991,2498722
KS,1992,2532394
KS,1993,2556547
KS,1994,2580513
KS,1995,2601007
KS,1996,2614554
KS,1997,2635292
KS,1998,2660598
KS,1999,2678338
KS,2000,2693681
KS,2001,2702162
KS,2002,2713535
KS,2003,2723004
KS,2004,2734373
KS,2005,2745299
KS,2006,2762931
KS,2007,2783785
KS,2008,2808076
KS,2009,2832704
KS,2010,2858949
KS,2011,2869965
KS,2012,2885966
KS,2013,2895801
KS,2014,2904021
KY,1970,3236121
KY,1971,3298565
KY,1972,3336275
KY,1973,3371741
KY,1974,3417229
KY,1975,3468957
KY,1976,3530680
KY,1977,3575221
KY,1978,3611577
KY,1979,3643920
KY,1980,3660777
KY,1981,3670394
KY,1982,3683445
KY,1983,3694484
KY,1984,3695453
KY,1985,3694826
KY,1986,3687809
KY,1987,3683329
KY,1988,3679999
KY,1989,3677306
KY,1990,3694048
KY,1991,3722328
KY,1992,3765469
KY,1993,3812206
KY,1994,3849088
KY,1995,3887427
KY,1996,3919535
KY,1997,3952747
KY,1998,3985390
KY,1999,4018053
KY,2000,4049021
KY,2001,4068132
KY,2002,4089875
KY,2003,4117170
KY,2004,4146101
KY,2005,4182742
KY,2006,4219239
KY,2007,4256672
KY,2008,4289878
KY,2009,4317074
KY,2010,4349838
KY,2011,4370038
KY,2012,4383465
KY,2013,4399583
KY,2014,4413457
LA,1970,3657391
LA,1971,3710415
LA,1972,3761799
LA,1973,3788684
LA,1974,3820684
LA,1975,3886835
LA,1976,3951506
LA,1977,4015423
LA,1978,4073143
LA,1979,4139128
LA,1980,4205900
LA,1981,4283303
LA,1982,4352608
LA,1983,4395316
LA,1984,4400477
LA,1985,4408118
LA,1986,4406919
LA,1987,4344148
LA,1988,4288863
LA,1989,4252894
LA,1990,4221532
LA,1991,4253279
LA,1992,4293003
LA,1993,4316428
LA,1994,4347481
LA,1995,4378779
LA,1996,4398877
LA,1997,4421071
LA,1998,4440344
LA,1999,4460811
LA,2000,4471885
LA,2001,4477875
LA,2002,4497267
LA,2003,4521042
LA,2004,4552238
LA,2005,4576628
LA,2006,4302665
LA,2007,4375581
LA,2008,4435586
LA,2009,4491648
LA,2010,4545581
LA,2011,4575972
LA,2012,4604744
LA,2013,4629284
LA,2014,4649676
ME,1970,998135
ME,1971,1015679
ME,1972,1034816
ME,1973,1046432
ME,1974,1060069
ME,1975,1073287
ME,1976,1089964
ME,1977,1105357
ME,1978,1115461
ME,1979,1124939
ME,1980,1124660
ME,1981,1133033
ME,1982,1136684
ME,1983,1144772
ME,1984,1155635
ME,1985,1162936
ME,1986,1170126
ME,1987,1184574
ME,1988,1203840
ME,1989,1219961
ME,1990,1231719
ME,1991,1237081
ME,1992,1238508
ME,1993,1242302
ME,1994,1242662
ME,1995,1243480
ME,1996,1249060
ME,1997,1254774
ME,1998,1259127
ME,1999,1266808
ME,2000,1277072
ME,2001,1285692
ME,2002,1295960
ME,2003,1306513
ME,2004,1313688
ME,2005,1318787
ME,2006,1323619
ME,2007,1327040
ME,2008,1330509
ME,2009,1329590
ME,2010,1327361
ME,2011,1327930
ME,2012,1328592
ME,2013,1328702
ME,2014,1330089
MD,1970,3943493
MD,1971,4022470
MD,1972,4081123
MD,1973,4109069
MD,1974,4133329
MD,1975,4157172
MD,1976,4172112
MD,1977,4194629
MD,1978,4211619
MD,1979,4223366
MD,1980,4216975
MD,1981,4261905
MD,1982,4282923
MD,1983,4313327
MD,1984,4365243
MD,1985,4413071
MD,1986,4486957
MD,1987,4565557
MD,1988,4657904
MD,1989,4727301
MD,1990,4799770
MD,1991,4867641
MD,1992,4923368
MD,1993,4971889
MD,1994,5023060
MD,1995,5070033
MD,1996,5111986
MD,1997,5157328
MD,1998,5204464
MD,1999,5254509
MD,2000,5311034
MD,2001,5374691
MD,2002,5440389
MD,2003,5496269
MD,2004,5546935
MD,2005,5592379
MD,2006,5627367
MD,2007,5653408
MD,2008,5684965
MD,2009,5730388
MD,2010,5788101
MD,2011,5843833
MD,2012,5891819
MD,2013,5938737
MD,2014,5976407
MA,1970,5699034
MA,1971,5738634
MA,1972,5762150
MA,1973,5783836
MA,1974,5777027
MA,1975,5762168
MA,1976,5748885
MA,1977,5744117
MA,1978,5742953
MA,1979,5746212
MA,1980,5737037
MA,1981,5768685
MA,1982,5771222
MA,1983,5799407
MA,1984,5840773
MA,1985,5880733
MA,1986,5902678
MA,1987,5935204
MA,1988,5979982
MA,1989,6015478
MA,1990,6022639
MA,1991,6018470
MA,1992,6028709
MA,1993,6060569
MA,1994,6095241
MA,1995,6141445
MA,1996,6179756
MA,1997,6226058
MA,1998,6271838
MA,1999,6317345
MA,2000,6361104
MA,2001,6397634
MA,2002,6417206
MA,2003,6422565
MA,2004,6412281
MA,2005,6403290
MA,2006,6410084
MA,2007,6431559
MA,2008,6468967
MA,2009,6517613
MA,2010,6564073
MA,2011,6612270
MA,2012,6655829
MA,2013,6708874
MA,2014,6745408
MI,1970,8899844
MI,1971,8971957
MI,1972,9024729
MI,1973,9071832
MI,1974,9109456
MI,1975,9107933
MI,1976,9117539
MI,1977,9157357
MI,1978,9202029
MI,1979,9248893
MI,1980,9262078
MI,1981,9209287
MI,1982,9115198
MI,1983,9047754
MI,1984,9049452
MI,1985,9076293
MI,1986,9127775
MI,1987,9187481
MI,1988,9217998
MI,1989,9253295
MI,1990,9311319
MI,1991,9400446
MI,1992,9479065
MI,1993,9540114
MI,1994,9597737
MI,1995,9676211
MI,1996,9758645
MI,1997,9809051
MI,1998,9847942
MI,1999,9897116
MI,2000,9952450
MI,2001,9991120
MI,2002,10015710
MI,2003,10041152
MI,2004,10055315
MI,2005,10051137
MI,2006,10036081
MI,2007,10001284
MI,2008,9946889
MI,2009,9901591
MI,2010,9876498
MI,2011,9875736
MI,2012,9884781
MI,2013,9898193
MI,2014,9909877
MN,1970,3815381
MN,1971,3851972
MN,1972,3866890
MN,1973,3885200
MN,1974,3898512
MN,1975,3925808
MN,1976,3956673
MN,1977,3979937
MN,1978,4004738
MN,1979,4038217
MN,1980,4075970
MN,1981,4111728
MN,1982,4131450
MN,1983,4141456
MN,1984,4157706
MN,1985,4184302
MN,1986,4205212
MN,1987,4235136
MN,1988,4296166
MN,1989,4338057
MN,1990,4389857
MN,1991,4440859
MN,1992,4495572
MN,1993,4555954
MN,1994,4610355
MN,1995,4660180
MN,1996,4712827
MN,1997,4763390
MN,1998,4813412
MN,1999,4873481
MN,2000,4933692
MN,2001,4982796
MN,2002,5018935
MN,2003,5053572
MN,2004,5087713
MN,2005,5119598
MN,2006,5163555
MN,2007,5207203
MN,2008,5247018
MN,2009,5281203
MN,2010,5310418
MN,2011,5348036
MN,2012,5380615
MN,2013,5422060
MN,2014,5457173
MS,1970,2226138
MS,1971,2265118
MS,1972,2306980
MS,1973,2349565
MS,1974,2378460
MS,1975,2399711
MS,1976,2430110
MS,1977,2459607
MS,1978,2487840
MS,1979,2507743
MS,1980,2520638
MS,1981,2539036
MS,1982,2556777
MS,1983,2567717
MS,1984,2578051
MS,1985,2588102
MS,1986,2593597
MS,1987,2588545
MS,1988,2580352
MS,1989,2574269
MS,1990,2578897
MS,1991,2598733
MS,1992,2623734
MS,1993,2655100
MS,1994,2688992
MS,1995,2722659
MS,1996,2748085
MS,1997,2777004
MS,1998,2804834
MS,1999,2828408
MS,2000,2848353
MS,2001,2852994
MS,2002,2858681
MS,2003,2868312
MS,2004,2889010
MS,2005,2905943
MS,2006,2904978
MS,2007,2928350
MS,2008,2947806
MS,2009,2958774
MS,2010,2970811
MS,2011,2978464
MS,2012,2986137
MS,2013,2992206
MS,2014,2994079
MO,1970,4686588
MO,1971,4722984
MO,1972,4753328
MO,1973,4774667
MO,1974,4785480
MO,1975,4795560
MO,1976,4823715
MO,1977,4845283
MO,1978,4871354
MO,1979,4889416
MO,1980,4916686
MO,1981,4932064
MO,1982,4929451
MO,1983,4943733
MO,1984,4975278
MO,1985,5000268
MO,1986,5023068
MO,1987,5056696
MO,1988,5081736
MO,1989,5095830
MO,1990,5128880
MO,1991,5170800
MO,1992,5217101
MO,1993,5271175
MO,1994,5324497
MO,1995,5378247
MO,1996,5431553
MO,1997,5481193
MO,1998,5521765
MO,1999,5561948
MO,2000,5607285
MO,2001,5641142
MO,2002,5674825
MO,2003,5709403
MO,2004,5747741
MO,2005,5790300
MO,2006,5842704
MO,2007,5887612
MO,2008,5923916
MO,2009,5961088
MO,2010,5996085
MO,2011,6010544
MO,2012,6025281
MO,2013,6044917
MO,2014,6063589
MT,1970,697665
MT,1971,711153
MT,1972,719272
MT,1973,727504
MT,1974,737316
MT,1975,749209
MT,1976,758597
MT,1977,771428
MT,1978,784108
MT,1979,789255
MT,1980,786690
MT,1981,795328
MT,1982,803986
MT,1983,814031
MT,1984,820905
MT,1985,822320
MT,1986,813739
MT,1987,805063
MT,1988,800202
MT,1989,799636
MT,1990,800204
MT,1991,809680
MT,1992,825770
MT,1993,844761
MT,1994,861306
MT,1995,876553
MT,1996,886254
MT,1997,889865
MT,1998,892431
MT,1999,897507
MT,2000,903773
MT,2001,906961
MT,2002,911667
MT,2003,919630
MT,2004,930009
MT,2005,940102
MT,2006,952692
MT,2007,964706
MT,2008,976415
MT,2009,983982
MT,2010,990575
MT,2011,997661
MT,2012,1005163
MT,2013,1014864
MT,2014,1023579
NE,1970,1489064
NE,1971,1504425
NE,1972,1518356
NE,1973,1528599
NE,1974,1537905
NE,1975,1541653
NE,1976,1549128
NE,1977,1554759
NE,1978,1561134
NE,1979,1564670
NE,1980,1569825
NE,1981,1578515
NE,1982,1581780
NE,1983,1584293
NE,1984,1588639
NE,1985,1584664
NE,1986,1574333
NE,1987,1566547
NE,1988,1571477
NE,1989,1574864
NE,1990,1581660
NE,1991,1595919
NE,1992,1611687
NE,1993,1625590
NE,1994,1639041
NE,1995,1656992
NE,1996,1673740
NE,1997,1686418
NE,1998,1695816
NE,1999,1704764
NE,2000,1713820
NE,2001,1719836
NE,2002,1728292
NE,2003,1738643
NE,2004,1749370
NE,2005,1761497
NE,2006,1772693
NE,2007,1783440
NE,2008,1796378
NE,2009,1812683
NE,2010,1829865
NE,2011,1842232
NE,2012,1855487
NE,2013,1868969
NE,2014,1881503
NV,1970,494996
NV,1971,520027
NV,1972,546805
NV,1973,568946
NV,1974,596747
NV,1975,619877
NV,1976,646870
NV,1977,678154
NV,1978,719391
NV,1979,765194
NV,1980,800493
NV,1981,847655
NV,1982,881537
NV,1983,901977
NV,1984,924922
NV,1985,951030
NV,1986,980613
NV,1987,1023376
NV,1988,1075022
NV,1989,1137382
NV,1990,1220695
NV,1991,1296171
NV,1992,1351367
NV,1993,1411215
NV,1994,1499298
NV,1995,1581578
NV,1996,1666320
NV,1997,1764104
NV,1998,1853191
NV,1999,1934718
NV,2000,2018741
NV,2001,2098399
NV,2002,2173791
NV,2003,2248850
NV,2004,2346222
NV,2005,2432143
NV,2006,2522658
NV,2007,2601072
NV,2008,2653630
NV,2009,2684665
NV,2010,2703493
NV,2011,2718586
NV,2012,2755245
NV,2013,2791494
NV,2014,2839099
NH,1970,742566
NH,1971,762190
NH,1972,781710
NH,1973,801832
NH,1974,817071
NH,1975,830038
NH,1976,847025
NH,1977,871873
NH,1978,893981
NH,1979,911900
NH,1980,920610
NH,1981,936621
NH,1982,947719
NH,1983,958134
NH,1984,976864
NH,1985,996753
NH,1986,1025053
NH,1987,1054289
NH,1988,1082577
NH,1989,1104522
NH,1990,1112384
NH,1991,1109929
NH,1992,1117784
NH,1993,1129458
NH,1994,1142560
NH,1995,1157561
NH,1996,1174719
NH,1997,1189425
NH,1998,1205940
NH,1999,1222014
NH,2000,1239882
NH,2001,1255517
NH,2002,1269089
NH,2003,1279840
NH,2004,1290121
NH,2005,1298492
NH,2006,1308389
NH,2007,1312540
NH,2008,1315906
NH,2009,1316102
NH,2010,1316517
NH,2011,1318109
NH,2012,1321297
NH,2013,1322616
NH,2014,1326813
NJ,1970,7193210
NJ,1971,7281992
NJ,1972,7336570
NJ,1973,7335280
NJ,1974,7335230
NJ,1975,7341399
NJ,1976,7344079
NJ,1977,7342023
NJ,1978,7356425
NJ,1979,7373065
NJ,1980,7364823
NJ,1981,7407472
NJ,1982,7430968
NJ,1983,7467785
NJ,1984,7515473
NJ,1985,7565528
NJ,1986,7622159
NJ,1987,7670742
NJ,1988,7712333
NJ,1989,7726089
NJ,1990,7762963
NJ,1991,7814676
NJ,1992,7880508
NJ,1993,7948915
NJ,1994,8014306
NJ,1995,8083242
NJ,1996,8149596
NJ,1997,8218808
NJ,1998,8287418
NJ,1999,8359592
NJ,2000,8430621
NJ,2001,8492671
NJ,2002,8552643
NJ,2003,8601402
NJ,2004,8634561
NJ,2005,8651974
NJ,2006,8661679
NJ,2007,8677885
NJ,2008,8711090
NJ,2009,8755602
NJ,2010,8803580
NJ,2011,8842614
NJ,2012,8876000
NJ,2013,8911502
NJ,2014,8938175
NM,1970,1024290
NM,1971,1053333
NM,1972,1077889
NM,1973,1104347
NM,1974,1129663
NM,1975,1162743
NM,1976,1195208
NM,1977,1225310
NM,1978,1251898
NM,1979,1280594
NM,1980,1302894
NM,1981,1332748
NM,1982,1363823
NM,1983,1394361
NM,1984,1416717
NM,1985,1438361
NM,1986,1462729
NM,1987,1478520
NM,1988,1490337
